CustomerID,total_orders,total_quantity,total_spend,avg_order_value,avg_unit_price,avg_items_in_cart,products_bought,coupon_orders,delivered_orders,cancelled_orders,returned_orders,shipped_orders,first_order_date,last_order_date,customer_lifetime_days,orders_per_active_day,coupon_rate,delivery_rate,cancel_rate,return_rate,avg_quantity_per_order,cart_to_quantity_ratio,spend_per_product,cluster,persona
C10002,1,3,1470.03,1470.03,490.01,4.0,1,1,0,0,1,0,2023-10-16,2023-10-16,0,1.0,1.0,0.0,0.0,1.0,3.0,1.3333333328888888,1470.03,0,One-Time / Occasional Shoppers
C10054,1,2,153.48,153.48,76.74,7.0,1,1,0,0,1,0,2024-10-14,2024-10-14,0,1.0,1.0,0.0,0.0,1.0,2.0,3.49999999825,153.48,0,One-Time / Occasional Shoppers
C10126,1,2,1349.8,1349.8,674.9,4.0,1,1,0,0,0,1,2023-06-18,2023-06-18,0,1.0,1.0,0.0,0.0,0.0,2.0,1.999999999,1349.8,0,One-Time / Occasional Shoppers
C10154,1,4,1303.04,1303.04,325.76,8.0,1,1,0,0,0,1,2024-07-29,2024-07-29,0,1.0,1.0,0.0,0.0,0.0,4.0,1.9999999995,1303.04,0,One-Time / Occasional Shoppers
C10211,1,5,635.9000000000001,635.9000000000001,127.18,10.0,1,1,0,1,0,0,2024-05-09,2024-05-09,0,1.0,1.0,0.0,1.0,0.0,5.0,1.9999999996,635.9000000000001,0,One-Time / Occasional Shoppers
C10222,1,1,204.08,204.08,204.08,4.0,1,0,0,0,1,0,2023-09-27,2023-09-27,0,1.0,0.0,0.0,0.0,1.0,1.0,3.9999999959999997,204.08,0,One-Time / Occasional Shoppers
C10477,1,1,466.42,466.42,466.42,5.0,1,1,0,0,0,0,2023-05-03,2023-05-03,0,1.0,1.0,0.0,0.0,0.0,1.0,4.999999995,466.42,0,One-Time / Occasional Shoppers
C10642,1,2,922.74,922.74,461.37,5.0,1,1,1,0,0,0,2024-06-12,2024-06-12,0,1.0,1.0,1.0,0.0,0.0,2.0,2.49999999875,922.74,0,One-Time / Occasional Shoppers
C10787,1,4,1099.28,1099.28,274.82,9.0,1,1,1,0,0,0,2023-10-23,2023-10-23,0,1.0,1.0,1.0,0.0,0.0,4.0,2.2499999994375,1099.28,0,One-Time / Occasional Shoppers
C10791,1,1,355.09,355.09,355.09,5.0,1,1,0,1,0,0,2023-12-20,2023-12-20,0,1.0,1.0,0.0,1.0,0.0,1.0,4.999999995,355.09,0,One-Time / Occasional Shoppers
C10866,1,3,789.5699999999999,789.5699999999999,263.19,5.0,1,0,1,0,0,0,2023-12-26,2023-12-26,0,1.0,0.0,1.0,0.0,0.0,3.0,1.6666666661111111,789.5699999999999,0,One-Time / Occasional Shoppers
C10892,1,2,754.94,754.94,377.47,7.0,1,0,0,0,0,0,2024-07-20,2024-07-20,0,1.0,0.0,0.0,0.0,0.0,2.0,3.49999999825,754.94,0,One-Time / Occasional Shoppers
C11127,1,5,1306.65,1306.65,261.33,5.0,1,1,0,0,1,0,2024-08-28,2024-08-28,0,1.0,1.0,0.0,0.0,1.0,5.0,0.9999999998,1306.65,0,One-Time / Occasional Shoppers
C11210,1,5,454.6,454.6,90.92,9.0,1,1,1,0,0,0,2024-09-09,2024-09-09,0,1.0,1.0,1.0,0.0,0.0,5.0,1.79999999964,454.6,0,One-Time / Occasional Shoppers
C11415,1,5,2876.2,2876.2,575.24,7.0,1,1,1,0,0,0,2024-03-15,2024-03-15,0,1.0,1.0,1.0,0.0,0.0,5.0,1.3999999997199999,2876.2,0,One-Time / Occasional Shoppers
C11473,1,2,146.82,146.82,73.41,2.0,1,1,0,0,0,1,2023-12-28,2023-12-28,0,1.0,1.0,0.0,0.0,0.0,2.0,0.9999999995,146.82,0,One-Time / Occasional Shoppers
C11644,1,1,46.66,46.66,46.66,6.0,1,0,0,1,0,0,2023-07-21,2023-07-21,0,1.0,0.0,0.0,1.0,0.0,1.0,5.9999999939999995,46.66,0,One-Time / Occasional Shoppers
